Date,Rainfall(mm)
1965-10-01,183.7
1965-11-01,131.7
1965-12-01,155.5
1966-01-01,3
1966-02-01,6.9
1966-03-01,67.7
1966-04-01,167.4
1966-05-01,95.2
1966-06-01,496.2
1966-07-01,601.9
1966-08-01,202.1
1966-09-01,293.2
1966-10-01,392.3
1966-11-01,245.4
1966-12-01,50.5
1967-01-01,14.3
1967-02-01,0.1
1967-03-01,24.6
1967-04-01,70.1
1967-05-01,244.9
1967-06-01,541.7
1967-07-01,741.4
1967-08-01,508.4
1967-09-01,145.8
1967-10-01,172.7
1967-11-01,74
1967-12-01,31.1
1968-01-01,7.3
1968-02-01,30.5
1968-03-01,89.2
1968-04-01,133.3
1968-05-01,90
1968-06-01,696.4
1968-07-01,1308.9
1968-08-01,380.7
1968-09-01,325.4
1968-10-01,178.9
1968-11-01,119.4
1968-12-01,32.7
1969-01-01,2.7
1969-02-01,6.4
1969-03-01,19.4
1969-04-01,117.2
1969-05-01,227.4
1969-06-01,550.5
1969-07-01,818.8
1969-08-01,284.8
1969-09-01,216.4
1969-10-01,235.6
1969-11-01,119.4
1969-12-01,66.3
1970-01-01,12.9
1970-02-01,17.6
1970-03-01,25.8
1970-04-01,132.7
1970-05-01,289.1
1970-06-01,535.3
1970-07-01,558.1
1970-08-01,554.8
1970-09-01,212.5
1970-10-01,278.3
1970-11-01,80.5
1970-12-01,5.7
1971-01-01,31.6
1971-02-01,18.5
1971-03-01,20
1971-04-01,113
1971-05-01,317.5
1971-06-01,889.6
1971-07-01,648.6
1971-08-01,385.2
1971-09-01,331.2
1971-10-01,220.9
1971-11-01,38.3
1971-12-01,62.3
1972-01-01,2.6
1972-02-01,7.5
1972-03-01,2.5
1972-04-01,87.5
1972-05-01,436
1972-06-01,401.8
1972-07-01,714.4
1972-08-01,294.9
1972-09-01,185.7
1972-10-01,351.5
1972-11-01,140.5
1972-12-01,114.3
1973-01-01,0
1973-02-01,0.3
1973-03-01,12.3
1973-04-01,131.5
1973-05-01,119.9
1973-06-01,617
1973-07-01,583.5
1973-08-01,487.5
1973-09-01,61.3
1973-10-01,260.8
1973-11-01,84.5
1973-12-01,53.8
1974-01-01,1.6
1974-02-01,5.4
1974-03-01,16
1974-04-01,128
1974-05-01,221.5
1974-06-01,266.9
1974-07-01,1004.2
1974-08-01,533.6
1974-09-01,383.6
1974-10-01,142.1
1974-11-01,61
1974-12-01,3.6
1975-01-01,5.2
1975-02-01,21.4
1975-03-01,63.4
1975-04-01,123.8
1975-05-01,162.2
1975-06-01,864.4
1975-07-01,531.3
1975-08-01,675.9
1975-09-01,457.7
1975-10-01,368.9
1975-11-01,204.3
1975-12-01,19.9
1976-01-01,0.1
1976-02-01,1.5
1976-03-01,21
1976-04-01,134.5
1976-05-01,75.8
1976-06-01,196.8
1976-07-01,641.5
1976-08-01,342.6
1976-09-01,116.2
1976-10-01,221.3
1976-11-01,286.7
1976-12-01,30.8
1977-01-01,1.1
1977-02-01,15.7
1977-03-01,28.3
1977-04-01,102.3
1977-05-01,306.4
1977-06-01,599.6
1977-07-01,753.3
1977-08-01,234.2
1977-09-01,201.3
1977-10-01,437
1977-11-01,361.7
1977-12-01,6.7
1978-01-01,3.3
1978-02-01,14.7
1978-03-01,31.4
1978-04-01,73.9
1978-05-01,396.8
1978-06-01,758.1
1978-07-01,686.7
1978-08-01,516.8
1978-09-01,119.4
1978-10-01,171
1978-11-01,365.6
1978-12-01,39
1979-01-01,2.4
1979-02-01,30
1979-03-01,11.7
1979-04-01,42
1979-05-01,127.7
1979-06-01,582.9
1979-07-01,662.2
1979-08-01,383.7
1979-09-01,211.7
1979-10-01,163.8
1979-11-01,261.7
1979-12-01,23.3
1980-01-01,0
1980-02-01,0.9
1980-03-01,20.8
1980-04-01,114.8
1980-05-01,105.3
1980-06-01,745.9
1980-07-01,754
1980-08-01,438.1
1980-09-01,139.5
1980-10-01,282.3
1980-11-01,162.3
1980-12-01,39.5
1981-01-01,7
1981-02-01,6.8
1981-03-01,28.5
1981-04-01,75.9
1981-05-01,166.3
1981-06-01,912.4
1981-07-01,489.8
1981-08-01,495.6
1981-09-01,376.6
1981-10-01,265
1981-11-01,138.6
1981-12-01,43.3
1982-01-01,0.7
1982-02-01,0.1
1982-03-01,21.9
1982-04-01,60.4
1982-05-01,148.2
1982-06-01,612.2
1982-07-01,511.5
1982-08-01,495
1982-09-01,70.6
1982-10-01,164.4
1982-11-01,127.5
1982-12-01,10.8
1983-01-01,0.2
1983-02-01,1.5
1983-03-01,0.9
1983-04-01,13.1
1983-05-01,76
1983-06-01,322.8
1983-07-01,583.2
1983-08-01,579.9
1983-09-01,421.1
1983-10-01,136.2
1983-11-01,116.5
1983-12-01,69.1
1984-01-01,36.8
1984-02-01,60
1984-03-01,95.3
1984-04-01,162.1
1984-05-01,84.6
1984-06-01,842.6
1984-07-01,653.6
1984-08-01,284.4
1984-09-01,171.1
1984-10-01,286
1984-11-01,67.7
1984-12-01,18
1985-01-01,61.2
1985-02-01,6.1
1985-03-01,29.3
1985-04-01,66.6
1985-05-01,254.2
1985-06-01,828.7
1985-07-01,388.9
1985-08-01,315.3
1985-09-01,117.6
1985-10-01,204
1985-11-01,74.9
1985-12-01,44
1986-01-01,5.6
1986-02-01,18.7
1986-03-01,11.2
1986-04-01,63.1
1986-05-01,126.7
1986-06-01,597.9
1986-07-01,324.8
1986-08-01,340.3
1986-09-01,235.4
1986-10-01,165.5
1986-11-01,194.7
1986-12-01,9.5
1987-01-01,0.6
1987-02-01,0.8
1987-03-01,4.3
1987-04-01,57.2
1987-05-01,108.3
1987-06-01,572.6
1987-07-01,221
1987-08-01,396.6
1987-09-01,157
1987-10-01,272.1
1987-11-01,216
1987-12-01,131.1
1988-01-01,0.8
1988-02-01,17.5
1988-03-01,38.1
1988-04-01,177.6
1988-05-01,157.2
1988-06-01,511.3
1988-07-01,502.8
1988-08-01,379.8
1988-09-01,451.7
1988-10-01,68.5
1988-11-01,67
1988-12-01,31.1
1989-01-01,10.3
1989-02-01,0
1989-03-01,30.1
1989-04-01,141.5
1989-05-01,169.4
1989-06-01,657.5
1989-07-01,450.7
1989-08-01,285.5
1989-09-01,271.1
1989-10-01,308
1989-11-01,92.9
1989-12-01,5.6
1990-01-01,14.9
1990-02-01,4.8
1990-03-01,18
1990-04-01,41.8
1990-05-01,488.5
1990-06-01,528.6
1990-07-01,635.4
1990-08-01,370.8
1990-09-01,103.3
1990-10-01,323.2
1990-11-01,158.8
1990-12-01,5.2
1991-01-01,10.9
1991-02-01,4.4
1991-03-01,33.2
1991-04-01,97
1991-05-01,113.4
1991-06-01,1096.1
1991-07-01,905.5
1991-08-01,465.5
1991-09-01,48.5
1991-10-01,307.8
1991-11-01,99.9
1991-12-01,2.3
1992-01-01,2.4
1992-02-01,0.9
